persona_uuid,run_number,sex,age_bracket,agree_bucket,total_victim_turns,mild_duration,mild_observed,high_duration,high_observed,max_engagement
0b0041b8-dd53-4c78-ad85-f312d832522c,1,Male,18-30,high,30,4,1,30,0,3
0b0041b8-dd53-4c78-ad85-f312d832522c,2,Male,18-30,high,30,3,1,30,0,3
0b0041b8-dd53-4c78-ad85-f312d832522c,3,Male,18-30,high,30,4,1,30,0,3
0b0041b8-dd53-4c78-ad85-f312d832522c,4,Male,18-30,high,30,8,1,30,0,2
0b0041b8-dd53-4c78-ad85-f312d832522c,5,Male,18-30,high,19,6,1,19,0,3
31ad5165-2233-4791-81c5-05b88e8ced9e,1,Male,31-50,high,30,4,1,30,0,3
31ad5165-2233-4791-81c5-05b88e8ced9e,2,Male,31-50,high,30,3,1,30,0,3
31ad5165-2233-4791-81c5-05b88e8ced9e,3,Male,31-50,high,30,4,1,30,0,3
31ad5165-2233-4791-81c5-05b88e8ced9e,4,Male,31-50,high,30,4,1,30,0,3
31ad5165-2233-4791-81c5-05b88e8ced9e,5,Male,31-50,high,30,4,1,30,0,3
266f8c14-127b-4635-9fdf-7445cd381cfc,1,Male,18-30,low,30,5,1,14,1,3
266f8c14-127b-4635-9fdf-7445cd381cfc,2,Male,18-30,low,15,4,1,15,0,2
266f8c14-127b-4635-9fdf-7445cd381cfc,3,Male,18-30,low,30,4,1,18,1,2
266f8c14-127b-4635-9fdf-7445cd381cfc,4,Male,18-30,low,24,3,1,11,1,3
266f8c14-127b-4635-9fdf-7445cd381cfc,5,Male,18-30,low,30,4,1,13,1,3
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,1,Female,31-50,high,30,4,1,10,1,3
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,2,Female,31-50,high,30,5,1,30,0,3
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,3,Female,31-50,high,30,6,1,30,0,3
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,4,Female,31-50,high,30,5,1,7,1,2
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,5,Female,31-50,high,30,5,1,30,0,3
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,1,Male,51-70+,low,30,4,1,8,1,2
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,2,Male,51-70+,low,30,4,1,5,1,2
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,3,Male,51-70+,low,26,4,1,26,0,3
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,4,Male,51-70+,low,7,2,1,7,0,2
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,5,Male,51-70+,low,30,4,1,30,0,3
18bcda3d-eccc-4e8c-aaab-940f547ada36,1,Male,31-50,low,30,6,1,30,0,3
18bcda3d-eccc-4e8c-aaab-940f547ada36,2,Male,31-50,low,30,5,1,9,1,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,3,Male,31-50,low,30,3,1,6,1,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,4,Male,31-50,low,12,3,1,4,1,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,5,Male,31-50,low,23,4,1,23,0,2
1d7e079d-cc92-47ea-9369-ea170a6799d5,1,Female,18-30,high,30,3,1,30,0,3
1d7e079d-cc92-47ea-9369-ea170a6799d5,2,Female,18-30,high,11,7,1,11,0,3
1d7e079d-cc92-47ea-9369-ea170a6799d5,3,Female,18-30,high,25,5,1,25,1,3
1d7e079d-cc92-47ea-9369-ea170a6799d5,4,Female,18-30,high,30,4,1,30,0,3
1d7e079d-cc92-47ea-9369-ea170a6799d5,5,Female,18-30,high,30,4,1,30,0,2
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,1,Female,51-70+,low,30,3,1,5,1,2
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,2,Female,51-70+,low,28,1,1,10,1,3
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,3,Female,51-70+,low,30,2,1,7,1,2
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,4,Female,51-70+,low,25,3,1,9,1,2
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,5,Female,51-70+,low,30,5,1,13,1,2
4448c8e7-3363-405e-92c1-571510bb470a,1,Male,51-70+,high,30,5,1,30,0,3
4448c8e7-3363-405e-92c1-571510bb470a,2,Male,51-70+,high,30,3,1,30,0,2
4448c8e7-3363-405e-92c1-571510bb470a,3,Male,51-70+,high,30,7,1,30,0,2
4448c8e7-3363-405e-92c1-571510bb470a,4,Male,51-70+,high,19,3,1,19,0,3
4448c8e7-3363-405e-92c1-571510bb470a,5,Male,51-70+,high,30,5,1,30,0,2
534031b6-c902-4b63-be91-71d09571b0ad,1,Female,51-70+,high,30,5,1,30,0,3
534031b6-c902-4b63-be91-71d09571b0ad,2,Female,51-70+,high,30,3,1,30,0,2
534031b6-c902-4b63-be91-71d09571b0ad,3,Female,51-70+,high,30,5,1,30,0,3
534031b6-c902-4b63-be91-71d09571b0ad,4,Female,51-70+,high,30,5,1,30,0,2
534031b6-c902-4b63-be91-71d09571b0ad,5,Female,51-70+,high,30,5,1,30,0,2
50ffb81e-5c9e-48d7-a312-f7c23ce90838,1,Female,18-30,low,30,5,1,10,1,3
50ffb81e-5c9e-48d7-a312-f7c23ce90838,2,Female,18-30,low,30,5,1,7,1,2
50ffb81e-5c9e-48d7-a312-f7c23ce90838,3,Female,18-30,low,30,2,1,20,1,3
50ffb81e-5c9e-48d7-a312-f7c23ce90838,4,Female,18-30,low,30,3,1,5,1,3
50ffb81e-5c9e-48d7-a312-f7c23ce90838,5,Female,18-30,low,30,6,1,13,1,3
05d360b1-730b-40ef-ad05-5e660f508c32,1,Female,31-50,low,30,4,1,23,1,3
05d360b1-730b-40ef-ad05-5e660f508c32,2,Female,31-50,low,30,3,1,30,0,2
05d360b1-730b-40ef-ad05-5e660f508c32,3,Female,31-50,low,30,3,1,30,0,3
05d360b1-730b-40ef-ad05-5e660f508c32,4,Female,31-50,low,30,3,1,30,0,2
05d360b1-730b-40ef-ad05-5e660f508c32,5,Female,31-50,low,30,5,1,8,1,2
